,symbol,momentum_ratio,time_frame,atr_length,wait_time,tp_deviation,sl_deviation,order_deviation,risk_reward,fifty,ma,counts,balance,strategy,profit,loss,win_rate,draw_down,score
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,80,6,-1157.5690399999935,v_ptr,488.4,-1745.96,0.33,1504.46,1.72
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,80,8,-243.79459000002072,bbm,1616.85,-1960.65,0.38,1302.32,1.8
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,120,3,-1368.5960000000089,color,0.0,-1468.6,0.0,1468.6,1.39
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,120,1,-316.46480000000804,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,120,6,-1157.5690399999935,v_ptr,488.4,-1745.96,0.33,1504.46,1.72
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,120,8,-243.79459000002072,bbm,1616.85,-1960.65,0.38,1302.32,1.8
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,30,2,312.4587999999917,mbm,628.92,-416.46,0.5,416.46,1.98
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,30,3,-335.8239999999832,color,1356.03,-812.01,0.67,1167.4,2.1
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,30,5,-335.8239999999832,v_ptr,1191.78,-1627.6,0.4,1167.4,1.83
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,30,9,1562.9299000000135,bbm,2698.03,-1235.1,0.78,623.76,2.28
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,80,2,312.4587999999917,mbm,628.92,-416.46,0.5,416.46,1.98
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,80,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,80,6,151.97600000001677,v_ptr,1679.58,-1627.6,0.5,679.6,1.96
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,80,9,1562.9299000000135,bbm,2698.03,-1235.1,0.78,623.76,2.28
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,120,1,-316.4648000000079,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,120,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,120,6,151.97600000001677,v_ptr,1679.58,-1627.6,0.5,679.6,1.96
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,1,0,120,9,1562.9299000000135,bbm,2698.03,-1235.1,0.78,623.76,2.28
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,30,2,946.3023999999882,mbm,1262.77,-416.46,0.5,416.46,2.0
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,30,5,-67.3821299999936,v_ptr,1461.61,-1628.99,0.4,1168.64,1.83
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,30,5,-67.3821299999936,color,342.41,-1628.99,0.33,1168.64,1.76
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,30,9,1626.373869999998,bbm,3103.45,-1577.08,0.56,966.24,2.05
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,80,2,946.3023999999882,mbm,1262.77,-416.46,0.5,416.46,2.0
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,80,3,-656.5867400000106,color,342.41,-1099.0,0.33,1099.0,1.75
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,80,6,913.0178700000068,v_ptr,2442.01,-1628.99,0.5,676.98,1.98
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,80,9,1626.373869999998,bbm,3103.45,-1577.08,0.56,966.24,2.05
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,120,1,-316.464800000008,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,120,6,913.0178700000068,color,342.41,-1628.99,0.33,676.98,1.81
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,120,6,913.0178700000068,v_ptr,2442.01,-1628.99,0.5,676.98,1.98
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,3,0,120,9,1626.373869999998,bbm,3103.45,-1577.08,0.56,966.24,2.05
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,30,3,-1368.5960000000089,color,0.0,-1468.6,0.0,1468.6,1.39
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,30,2,1897.0677999999907,mbm,2213.53,-416.46,0.5,416.46,2.02
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,30,5,-1399.0690399999935,v_ptr,246.9,-1745.96,0.2,1745.96,1.57
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,30,8,-243.79459000002072,bbm,1616.85,-1960.65,0.38,1302.32,1.8
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,80,2,1897.0677999999907,mbm,2213.53,-416.46,0.5,416.46,2.02
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,80,3,-1368.5960000000089,color,0.0,-1468.6,0.0,1468.6,1.39
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,80,6,-1157.5690399999935,v_ptr,488.4,-1745.96,0.33,1504.46,1.72
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,80,8,-243.79459000002072,bbm,1616.85,-1960.65,0.38,1302.32,1.8
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,120,1,-316.46480000000804,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,120,3,-1368.5960000000089,color,0.0,-1468.6,0.0,1468.6,1.39
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,120,3,-1368.5960000000089,v_ptr,0.0,-1468.6,0.33,1468.6,1.72
0,BITCOIN,0.6,30,80,50,0.0,0.0,0.0,6,0,120,8,-243.79459000002072,bbm,1616.85,-1960.65,0.38,1302.32,1.8
0,BITCOIN,0.6,30,80,90,0.0,0.0,0.0,1,0,30,2,312.4587999999917,mbm,628.92,-416.46,0.5,416.46,1.98
0,BITCOIN,0.6,30,80,90,0.0,0.0,0.0,1,0,30,4,124.37980000001085,v_ptr,1191.78,-1167.4,0.5,1167.4,1.94
0,BITCOIN,0.6,30,80,90,0.0,0.0,0.0,1,0,30,2,124.37980000001085,color,840.13,-812.01,0.5,1167.4,1.94
0,BITCOIN,0.6,30,80,90,0.0,0.0,0.0,1,0,30,9,1336.4119000000169,bbm,2471.51,-1235.1,0.78,623.76,2.28
0,BITCOIN,0.6,30,80,90,0.0,0.0,0.0,1,0,80,2,312.4587999999917,mbm,628.92,-416.46,0.5,416.46,1.98
0,BITCOIN,0.6,30,80,90,0.0,0.0,0.0,1,0,80,5,128.1248000000097,v_ptr,1679.58,-1167.4,0.6,812.01,2.06
